,Permit#,Permit Type,Subtype,Address,Work Description,Issue Date,Expiration Date
2678,LD20-000007,Land Disturbance,Land Disturbance,11830 Sedona Dr,new construction and a seperate barn,11/24/2020,11/24/2020
2679,LD20-000012,Land Disturbance,Land Disturbance,,remove pine trees and level ground for bulkhead,01/12/2021,07/12/2021
2680,LD21-000045,Land Disturbance,Land Disturbance,10501 CO RD 1,Clear lot and install driveway,06/02/2021,12/02/2021
2681,LD21-000051,Land Disturbance,Land Disturbance,11101 COUNTY RD 64,"Parking Addition for Coastal Church, 109 New spaces in total.",06/17/2021,12/17/2021
2682,LD21-000065,Land Disturbance,Land Disturbance,23835 THIRD ST,New construction,07/27/2021,01/27/2022
2683,LD21-000078,Land Disturbance,Land Disturbance,21025 OAKDALE DR,Mobile home pad,10/05/2021,04/05/2022
2684,LD21-000080,Land Disturbance,Land Disturbance,31389 DOLPHIN DR,Fill in low lying part of property that floods with white sand.,10/05/2021,04/05/2022
2685,LD21-000074,Land Disturbance,Land Disturbance,38041 MAGNOLIA CHURCH RD,attachment for permit on drive way and lay out,10/12/2021,04/12/2022
2686,LD21-000105,Land Disturbance,Land Disturbance,36448 BOYKIN BLVD,Silt fence will be placed for erosion control. Fill dirt will be placed and graded to a level grade. Grass will be planted after grade is finished.,10/22/2021,04/22/2022
2687,LD21-000119,Land Disturbance,Land Disturbance,8976 COUNTY RD 99,Restoration of erosion caused by Hurricane Sally,11/15/2021,05/15/2022
2688,LD21-000153,Zoning - Land Disturbance,Land Disturbance,18145 SCENIC HWY 98,"Adding an entrance to an existing driveway, with gates and block columns; no electrical or gas",11/19/2021,05/19/2022
2689,LD21-000131,Land Disturbance,Land Disturbance,17733 SCENIC HWY 98,landscaping and moving driveway,11/24/2021,05/24/2022
2690,LD21-000166,Zoning - Land Disturbance,Land Disturbance,0 SOLDIER CREEK RD,"Bring in dirt, spread dirt, take out dead trees",12/16/2021,06/16/2022
2691,LD21-000170,Zoning - Land Disturbance,Land Disturbance,2971 PONCE DE LEON CT,"REMOVING GRAVEL DRIVEWAY,",01/05/2022,07/05/2022
2692,LD22-000029,Zoning - Land Disturbance,Land Disturbance,15458 LANDRUM LN,Removal of stumps from Hurricane Sally damage,02/22/2022,08/22/2022
2693,LD22-000043,Zoning - Land Disturbance,Land Disturbance,30708 ono north loop w,Clearing and grading for construction of new home,03/08/2022,09/08/2022
2694,LD22-000060,Zoning - Land Disturbance,Land Disturbance,5224 ST HWY 180,Site Work for New Volunteer Fire Department,03/11/2022,09/11/2022
2695,LD22-000037,Zoning - Land Disturbance,Land Disturbance,12347 CO RD 1,"Increase the elevation prior to home construction, fill in low lying areas with dirt, add drainage methods to assist with flooding and water removal.",04/11/2022,10/11/2022
2696,LD21-000169,Zoning - Land Disturbance,Land Disturbance,0 BAY RD W,Fill sand brought in to address storm water issues,05/25/2022,11/25/2022
